item_text,provider,material_code,category_code
AUTOC. ALLFLEX GRAN/D.S/E. BLANCO,COLUN,7600407,EXP-2.6
AUTOC. ALLFLEX MED/D.S/E. BLANCO,COLUN,7600401,EXP-2.6
AUTOC. MEDIANO ZEETAGS ROJO,COLUN,7613452,EXP-2.6
AUTOC. ALLFLEX GRAN/D.S/E. ROJO,COLUN,7600411,EXP-2.6
INVEADE INYECTABLE X 100 CC,COLUN,7055859,EXP-2.5
"AGUJA DESECHABLE 18G X 1""",COLUN,7052701,EXP-2.6
APLICADOR DIPPING S/RETORNO,COLUN,7058122,EXP-2.6
OVEROLES GABARDINA TALLA M,COLUN,7600315,EXP-16.1
APLICADOR DIPPING HORIZONTAL,COLUN,7028703,EXP-2.6
HEMATON B12 INYECTABLE 100 ML,COLUN,7007587,EXP-2.5
BAT. YOKO NX120-7 L90AMP. 12 VOLT KOREA,COLUN,7601895,EXP-13.1
"A. SPIRAX S4 TXM X 18,9 L (958955)",COLUN,7604371,EXP-13.1
BOTA BEKINA STEPLITE PUNTA ACERO N° 38,COLUN,7604263,EXP-16.1
OVEROLES PILOTO POPLIN T 48 AZUL M,COLUN,7020044,EXP-16.1
BOTA BEKINA STEPLITE PUNTA ACERO N° 36,COLUN,7604261,EXP-16.1
GUANTE CABRETILLA CON FORRO,COLUN,7600548,EXP-16.1
DIIO ZEETAG FDX X 5 UN,COLUN,7602645,EXP-2.6
SOLUTION X 500 ML,COLUN,7603742,EXP-2.5
BOTA BEKINA STEPLITE NORMAL N° 42,COLUN,7604408,EXP-16.1
PLANILLA NÚMERO 71815 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 72162 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 72163 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 72183 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
SALFORT ALTA BIOTINA X 25 KG,COLUN,7605687,EXP-2.4
AYUDA PARTOS ESTANDAR SHOOF 201006,COLUN,7610470,EXP-2.6
"MACHETE 18"" TRAMONTINA",COLUN,7604884,EXP-16.1
"CAÑERIA NEGRA PN4 3/4""",COLUN,7004715,EXP-14.3
ESCOBILLA COLECTOR 988.801-01 ALFA/LAVAL,COLUN,7058718,EXP-16.1
MANIJA AISLADA DOBLE PROP 20UN (G73830),COLUN,7607921,EXP-14.2
"MALLA CUADRADA 1,50 M. 5014",COLUN,7006408,EXP-14.2
ORBENIN X 36 JER,COLUN,7613746,EXP-2.1
PLANILLA NÚMERO 71334 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71335 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71336 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71339 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71617 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71694 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71726 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
ESCOBAS PLASTICAS 75,COLUN,7005215,EXP-16.1
VACUNA LEPTOFERM 5 X 50 DOSIS,COLUN,7610430,EXP-2.3
HANSEN REP VARILLA CORTA 202MM SUPER-FLO,COLUN,7613310,EXP-14.3
VACUNA VISION 8 X 50 DOSIS,COLUN,7602116,EXP-2.3
BOTA BEKINA STEPLITEX SOLIDGRIP N° 42,COLUN,7610560,EXP-16.1
INYECTOR PREMIUM 2 ML SHOOF 220097,COLUN,7608886,EXP-16.1
PALAS CARRILANA TRUPER,COLUN,7006726,EXP-16.1
PICOTA TRUPER 5 LB C/MANGO,COLUN,7037524,EXP-16.1
AISLADOR POSTE MADERA C/SEGURO X 25 UN,COLUN,7603581,EXP-14.2
A. RIMULA R4 X 15W40 X 20 L (959430),COLUN,7011576,EXP-13.1
"A. TELLUS S2 MX 68 X 18,9 L (964630)",COLUN,7604163,EXP-13.1
ALCOHOL X 1 LT.,COLUN,7025135,EXP-2.6
TERMOMETRO PLASTICO PARA SUELOS SHOOF,COLUN,7603838,EXP-16.2
PLUVIOMETRO RAIN MAXX SHOOF,COLUN,7604127,EXP-16.2
A.MOBIL NUTO 68 X 19LTS,COLUN,7070530,EXP-13.1
PLANILLA NÚMERO 70927 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71035 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71080 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71081 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71082 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 71083 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70374 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70563 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70564 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70701 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70746 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70912 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70914 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70917 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70919 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70921 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70922 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70926 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
RATAMIX PASTA X 500 GR (50 X 10 GR),COLUN,7609580,EXP-16.2
SACOS PAPEROS 45 X 70 CM,COLUN,7607691,EXP-16.2
ADBLUE GRANEL X L,COLUN,7605414,EXP-13.1
CUCHILLO DESPALMADOR DERECHO AESCULAP,COLUN,7602859,EXP-2.6
PECHERA REVERSIBLE CON LOGO COLUN,COLUN,7612006,EXP-16.1
MAMYSIN - S X 20 JER,COLUN,7604878,EXP-2.2
"EPRINEX POUR-ON X 2,5 L",COLUN,7605484,EXP-2.5
"MANGUERA STAR GARDEN 3/4"" 5 BAR",COLUN,7605006,EXP-14.3
PITA SAQUERA NYLON,COLUN,7006874,EXP-16.2
VACUNA BRUCELLA ABORTUS CEPA RB-51,COLUN,7058050,EXP-2.3
ESPUMA CLORADA DA X 20 LT,COLUN,7607575,EXP-10.3
TUBERCULINA PPD BOVINA (AGROVET),COLUN,7600242,EXP-2.5
JERINGA DESECHABLE 60 ML (L.L.),COLUN,7034460,EXP-2.6
MANGO BISTURI N°4,COLUN,7045560,EXP-2.6
TREO ACE X 500 CC,COLUN,7024040,EXP-2.5
PLANILLA NÚMERO 69867 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70202 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 70203 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
"MANGUERA STAR GARDEN 1/2"" 5 BAR",COLUN,7605005,EXP-14.3
ROZON DERECHO TRAMONTINA,COLUN,7600927,EXP-16.1
ALU - FARM SPRAY X 150 ML,COLUN,7614573,EXP-2.5
VACUNA CATTLEMASTER GOLD FP5L5 X 25 DS,COLUN,7610914,EXP-2.3
PERRO FIT FORMULA CACHORRO X 10 KG,COLUN,7603664,EXP-5.3
"CAÑERIA NEGRA PN4 1/2""",COLUN,7004707,EXP-14.3
"CAÑERIA NEGRA PN4 1 1/2""",COLUN,7004740,EXP-14.3
MURIATO DE POTASIO 60% FUNDO,COLUN,7602289,EXP-6.5
UREA ADHERO FUNDO,COLUN,7608529,EXP-6.2
PEGAMENTO PARA TACOS (SHOOF),COLUN,7603548,EXP-2.6
ANTICONG.PERMAZONE X19LT,COLUN,7076040,EXP-13.1
SUPERFOSFATO TRIPLE X 25 KG,COLUN,7609387,EXP-6.1
FLETE,COLUN,3600241,EXP-15.3
CINTA BLANCA 40 MM X 50M (SP023),COLUN,7601143,EXP-14.2
CABLE SUBTERRANEO 50 MT X 2.5 MM,COLUN,7014001,EXP-14.2
TAPA BEBEDERO AUSTRALPLASTICS,COLUN,7609114,EXP-14.3
PLANILLA NÚMERO 69220 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 69221 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 69305 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
PLANILLA NÚMERO 69306 - ANÁLISIS : COOP,COLUN,3600326,EXP-12.2
FOSFATO MONOAMONICO FUNDO,COLUN,7608527,EXP-6.1
UREA GRANULADA X 25 KG,COLUN,7609389,EXP-6.2
BOTA BEKINA STEPLITE PUNTA ACERO N° 44,COLUN,7603283,EXP-16.1
OVEROL POPLIN AZUL C/CINTA T. XL,COLUN,7608353,EXP-16.1
TENSOR DE CARGA MAXIMO 1000 KG,COLUN,7607365,EXP-14.2
VASELINA LIQUIDA X 1 LT.,COLUN,7028029,EXP-2.6
BAT. YOKO 31-930 100AMP 12VOLT C/H KOREA,COLUN,7604423,EXP-13.1
BATERIA ENERCEL HYUNDAI CMF 105 D 31L,COLUN,7605963,EXP-13.1
TERMINAL DE ENERG. PARA PUERTA 807883,COLUN,7602695,EXP-14.2
CUCHILLO DESPALMADOR IZQUIERDO AESCULAP,COLUN,7602860,EXP-2.6
GUANO DE GALLINA FUNDO,COLUN,7611645,EXP-6.4
A. GADUS S2 V220 2 X 18 KG (958644),COLUN,7009725,EXP-13.1
CLAVOS 3 1/2 X 9 X 1 KG,COLUN,7608133,EXP-14.2
CLAVOS 2 1/2 X 11 X 1 KG,COLUN,7601119,EXP-14.2
OVEROLES PILOTO POPLIN T 50 AZUL L,COLUN,7042340,EXP-16.1
CAMARA 14.9/13 X 24 EX-DIAMOND,COLUN,7059978,EXP-13.1
VALV FLOT MAX-FLO CORTO 1 -3/4 (217209),COLUN,7605299,EXP-14.3
BEBEDERO PLASTICO DE 1000 LT.,COLUN,7600786,EXP-14.3
GUANTE CORTO NITRILO L SHOOF 204631,COLUN,7613733,EXP-16.1
BOTAS DESECHABLE PLASTICO GRUESO,COLUN,7600134,EXP-16.1
GORRO CLIP TIPO DUCHA BLANCO X 100 UN,COLUN,7605167,EXP-16.1
ESCOBILLON MUNICIPAL GRANDE,COLUN,7606513,EXP-16.1
"NEXGARD SPECTRA X 1 TABLETA (30,1-60 KG)",COLUN,7610046,EXP-16.2
PERRO BAVARO WORK 26 (ADULTO) 18 KG,COLUN,7610155,EXP-5.3
OVEROL POPLIN AZUL C/CINTA T. L,COLUN,7608352,EXP-16.1
QUIX 5 LT,COLUN,7614383,EXP-10.3
OVEROL POPLIN AZUL C/CINTA T. XXL,COLUN,7608354,EXP-16.1
CAMARAS 18/400 X 15.5 TR16,COLUN,7602816,EXP-13.1
"TUBERIA HDPE 63MM 2"" PN6 DIN 3,6MM",COLUN,7609663,EXP-14.3
"TUBERIA HDPE 90MM 3"" PN6 DIN 5,4MM",COLUN,7614593,EXP-14.3
APLICADORES AUTOCR.ALLFLEX,COLUN,7025275,EXP-2.6
CLORO ORGANICO 10 KG,COLUN,7601631,EXP-10.3
PAPEL HIGIENICO ECONOMICO 500 M ELITE,COLUN,7606212,ADM-1.6
