new_code,parent,leaf,description,color_note,excluded_reason
EXP-EXCLUDED,REMUNERACIONES OPERACIONES,Contratados,"Not for this system, this is just for accounting. Do not have XML files | OK | NO TIENEN XML | All wages and salaries paid to farm employees",orange_no_xml_or_accounting_only,no_xml_or_accounting_only
EXP-EXCLUDED,REMUNERACIONES OPERACIONES,Honorarios,Honorarios agricolas BH y BH terceros | All wages and salaries paid to farm employees,orange_no_xml_or_accounting_only,no_xml_or_accounting_only
EXP-EXCLUDED,ARRIENDOS,Arriendo Predio Lecheria,"Milking platform leases | Oscar, Chapilcahuin, Raices Sonia | Do not have xml files | hacer listado arriendos vigentes y asignar a cada cuenta | NO TIENEN XML",orange_no_xml_or_accounting_only,no_xml_or_accounting_only
EXP-EXCLUDED,ARRIENDOS,Arriendo Otros Predios,"Other farms leases | Jimena, Bramadero, Pelleco, Raices 17 hect | Do not have xml files | hacer listado arriendos vigentes y asignar a cada cuenta | NO TIENEN XML",orange_no_xml_or_accounting_only,no_xml_or_accounting_only
EXP-EXCLUDED,ARRIENDOS,Arriendo Casas,house leases | Yutreco | Do not have xml files | hacer listado arriendos vigentes y asignar a cada cuenta | NO TIENEN XML,orange_no_xml_or_accounting_only,no_xml_or_accounting_only
ADM-EXCLUDED,IMPUESTOS Y MULTAS,"Impuestos, comisiones, multas","Taxes, Commissions and Fines | Territorial, comisiones feria, imp transferencia | normalmente no tienen xml",orange_no_xml_or_accounting_only,no_xml_or_accounting_only
ADM-1.1,ADMINISTRACION,Remuneraciones Administracion,"Administration wages | OK | Accountancy, consultancy, legal fees, communication, advertising, resource consent fees, stationery, and subscriptions. Excludes private expenses.",orange_no_xml_or_accounting_only,no_xml_or_accounting_only
