candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-01879,CALFODEX 500 ML,,COVEPA SpA,"Comercializacion de productos veterinarios, agricolas, maquinarias, ferreterias,",COMPRAS,DTE_033_000005094105_889098007.xml,5094105,,0.9000,N,,
OQ-02016,COW GUARD BARRERA 210KG,PRODUCTO ENTREGADO FDO EL MAITEN.,BIOGENESIS ANIMAL HEALTH SPA,VENTA AL POR MAYOR DE MATERIAS PRIMAS AGRICOLAS,COMPRAS,DTE_033_000000009798_761804944.xml,9798,COW GUARD BARRERA 210KG - PRODUCTO ENTREGADO FDO EL MAITEN.,0.7500,N,,
OQ-02071,UHT ENTERA 200,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,"ELAB Y VTA PROD LACTEOS, VTA INSUM AGRIC, VETER, COMBUST, ALIMENT Y BEBI",COMPRAS,DTE_033_000028629018_810941006.xml,28629018,UHT ENTERA BASE,0.8500,N,,
