candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-02443,BOCADITOS GALLETAS CON DULCE DE MEMBRILLO DOS EN UNO BOLSA 300 GR,,COMERCIAL AMAR HERMANOS Y COMPANIA LIMITADA,SUPERMERCADO,COMPRAS,DTE_033_000000672620_773493200.xml,672620,PAPEL HIGIENICO ULTRA DH 25MTS ELITE PAQUETE 24 UND; AZUCAR IANSA 900GRS BOLSA 900 GR; PASTILLA PARA ESTANQUE IGENIX 3 UND CAJA 48 GR; TRAP MICROFIBRA DOÑA GABY 50X60 CON OJAL UND 1 UND; TRAP MICROFIBRA DOÑA GABY 50X40 DOBLE CON OJAL UND 1 UND; LIMPIAVIDRIOS EXPT CIF VIDRIOS BOTELLA 500 ML,0.7000,Y,REJECT,2step_review
OQ-02533,UHT ENTERA BASE,,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,"ELAB Y VTA PROD LACTEOS, VTA INSUM AGRIC, VETER, COMBUST, ALIMENT Y BEBI",COMPRAS,DTE_033_000028629018_810941006.xml,28629018,UHT ENTERA 200,0.8500,Y,REJECT,2step_review
