candidate_id,item_text,description,provider,giro,source,source_file,folio,siblings,top1_conf,audited,verdict,audit_reason
OQ-02550,GLADIADOR 450 WP X 250 GR,GLADIADOR 450 WP X 250 GR,COOPERATIVA AGRICOLA Y LECHERA DE LA UNION LTDA.,FABR. Y DIST.PROD.LACTEOS VTAS. INSAGRIC,COMPRAS,DTE_033_000028127192_810941006.xml,28127192,GLADIADOR 450 WP X 250 GR - GLADIADOR 450 WP X 250 GR,0.9500,Y,EXP-7.0,2step_review
OQ-02902,CAIMAN 70 WG ( 1 KG.),,COOPERATIVA AGRICOLA Y DE SERVICIOS LTDA,"CRIA DE GANADO Y BOVINO, ESTACION SERV.",COMPRAS,DTE_033_000005119375_823926006.xml,5119375,SILWET ( 1 L.) - Usted esta transportando sustancias peligrosas de emergencias comunicarse con Corpo,0.8500,Y,EXP-7.0,2step_review
OQ-02921,SULFATO COBRE 25 KG. -____,____,FEROSOR AGRICOLA S.A.,COMERCIALIZADORA DE INSUMOS AGRICOLAS,COMPRAS,DTE_033_000001581748_967895202.xml,1581748,SULFATO COBRE 25 KG. -____ - ____,0.8500,Y,EXP-7.0,2step_review
OQ-03082,"GARLON 4 3,79 L",,COAGRA S.A.,AGROINDUSTRIA COMERCIALIZACIÓN DE PRODUCTOS E INSUMOS AGRÍCOLAS REPARACIÓN MANTE,COMPRAS,DTE_033_000002157372_966868708.xml,2157372,"NITROFIX NTX N21% 5 L; TORDON 101 4 L; STARANE XTRA 5 L; LONTREL 3A 3,79 L; SILWET TX 100 1 L; ROUNDUP CONTROLMAX 15 K - ^ ! Cuota Vencimiento Monto ! Cuota Vencimiento Monto ! Cuota Vencimiento ",0.9000,Y,EXP-7.0,2step_review
OQ-03104,"LONTREL 3A 3,79 L",,COAGRA S.A.,AGROINDUSTRIA COMERCIALIZACIÓN DE PRODUCTOS E INSUMOS AGRÍCOLAS REPARACIÓN MANTE,COMPRAS,DTE_033_000002208954_966868708.xml,2208954,NITROFIX NTX N21% 5 L; TORDON 101 4 L; SILWET TX 100 1 L; STARANE XTRA 5 L; ROUNDUP CONTROLMAX 15 K - ^ ! Cuota Vencimiento Monto ! Cuota Vencimiento Monto ! Cuota Vencimiento ,0.8000,Y,EXP-7.0,2step_review
